persona_key,name,role_text,category,ambiguous,alternative_category,justification,model,protocol_sha256
fai2_dario_amodei,Dario Amodei,is the CEO and co-founder of Anthropic (Anthropic),business,True,scrutiny,"He is publicly known as CEO and co-founder of Anthropic, an executive role, though he is also prominent for AI safety advocacy.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_amanda_askell,Amanda Askell,is a researcher at Anthropic working on alignment and AI ethics (Anthropic),scrutiny,False,,Her stated role is alignment and AI ethics research.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_chris_olah,Chris Olah,leads interpretability research at Anthropic (Anthropic),scrutiny,False,,"He leads interpretability research, which falls squarely under scrutiny.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jan_leike,Jan Leike,leads the alignment science team at Anthropic (Anthropic),scrutiny,False,,"He leads alignment science, a core safety role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jared_kaplan,Jared Kaplan,is the Chief Science Officer and co-founder of Anthropic (Anthropic),capabilities,True,business,He is best known for scaling-laws and model research leadership as Chief Science Officer rather than for safety or commercial roles.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_evan_hubinger,Evan Hubinger,leads alignment stress-testing at Anthropic (Anthropic),scrutiny,False,,"He leads alignment stress-testing, an evaluation and safety role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_sam_bowman,Sam Bowman,leads an alignment research team at Anthropic (Anthropic),scrutiny,False,,He leads an alignment research team.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ethan_perez,Ethan Perez,is an adversarial-robustness and alignment researcher at Anthropic (Anthropic),scrutiny,False,,"His role is adversarial-robustness and alignment research, i.e., red-teaming and safety.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_sam_altman,Sam Altman,is the CEO of OpenAI (OpenAI),business,False,,"He is publicly known as CEO of OpenAI, an executive role with no safety-primary framing.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_greg_brockman,Greg Brockman,is the President and co-founder of OpenAI (OpenAI),business,True,capabilities,"He is publicly known as President and co-founder of OpenAI, though he is also a hands-on engineering leader.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_joshua_achiam,Joshua Achiam,works on mission alignment at OpenAI (OpenAI),scrutiny,True,capabilities,"His current public role as OpenAI's head of mission alignment centers on aligning the organization and its models with safety-oriented mission goals, though he was previously a capabilities researcher.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_aleksander_madry,Aleksander Madry,"leads preparedness research at OpenAI, on leave from MIT (OpenAI)",scrutiny,False,,"He leads OpenAI's Preparedness team, which evaluates catastrophic risks from frontier models, a core evaluation and safety role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_boaz_barak,Boaz Barak,"works on AI safety at OpenAI, on leave from Harvard (OpenAI)",scrutiny,False,,The role text explicitly names AI safety work at OpenAI as his current public role.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ilya_sutskever,Ilya Sutskever,is the co-founder of Safe Superintelligence Inc. and former chief scientist of OpenAI (Safe Superintelligence),business,True,scrutiny,"He is publicly known as co-founder and CEO of Safe Superintelligence Inc., a lab founder role, though the company's stated mission is safety-focused.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_john_schulman,John Schulman,"is a co-founder of OpenAI, known for RLHF, now at Thinking Machines Lab (Thinking Machines Lab)",capabilities,True,scrutiny,"He is best known as a research leader on RLHF and model training methods, now a researcher at Thinking Machines Lab rather than a dedicated safety critic.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_lilian_weng,Lilian Weng,led safety systems at OpenAI and is now at Thinking Machines Lab (Thinking Machines Lab),scrutiny,True,capabilities,"Her most prominent role was leading OpenAI's safety systems team, giving her a primary safety and evaluation identity.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_andrej_karpathy,Andrej Karpathy,"is the founder of Eureka Labs, formerly of OpenAI and Tesla (Eureka Labs)",capabilities,True,business,"He is publicly known as a deep learning research and engineering leader and educator, despite now founding Eureka Labs.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_richard_ngo,Richard Ngo,"is an AI governance and alignment researcher, formerly at OpenAI and DeepMind (independent)",scrutiny,False,,"His stated role is AI governance and alignment research, squarely a safety and oversight identity.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_demis_hassabis,Demis Hassabis,is the CEO of Google DeepMind (Google DeepMind),business,True,capabilities,"He is publicly known as CEO of Google DeepMind, an executive role, and the text does not name safety as his main work.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_shane_legg,Shane Legg,is a co-founder and chief AGI scientist of Google DeepMind (Google DeepMind),capabilities,True,business,"His current public role is chief AGI scientist at Google DeepMind, a research leadership position on model capabilities rather than a primarily safety or executive identity.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_neel_nanda,Neel Nanda,leads mechanistic interpretability research at Google DeepMind (Google DeepMind),scrutiny,False,,"He leads mechanistic interpretability research, an explicitly safety- and understanding-oriented role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_rohin_shah,Rohin Shah,works on AGI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,His primary public role is AGI safety and alignment research.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_anca_dragan,Anca Dragan,leads AI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,She heads AI safety and alignment work at a major lab.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_been_kim,Been Kim,is an interpretability researcher at Google DeepMind (Google DeepMind),scrutiny,False,,She is publicly known as an interpretability researcher.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_nicholas_carlini,Nicholas Carlini,is a researcher at Google DeepMind known for adversarial ML and model security (Google DeepMind),scrutiny,True,capabilities,"His prominence comes from adversarial attacks, model security, and evaluation of model weaknesses, which is red-teaming-style scrutiny.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_geoffrey_hinton,Geoffrey Hinton,is an emeritus professor at the University of Toronto and Turing Award winner known as a godfather of deep learning (University of Toronto),scrutiny,True,capabilities,"Though a deep learning pioneer, his current public role is dominated by warning about AI risk.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_yoshua_bengio,Yoshua Bengio,"is a professor at Universite de Montreal, founder of Mila, and Turing Award winner (Mila)",scrutiny,True,capabilities,He is now most publicly known for leading AI safety governance efforts and international risk reports.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_yann_lecun,Yann LeCun,is the chief AI scientist at Meta and Turing Award winner (Meta),capabilities,False,,As Meta's chief AI scientist he leads capabilities research without a primary safety or critic identity.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_stuart_russell,Stuart Russell,is a professor of computer science at UC Berkeley and author of the standard AI textbook (UC Berkeley),scrutiny,False,,"He is best known publicly for arguing about AI existential risk and control, a safety/governance role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_percy_liang,Percy Liang,is a professor at Stanford directing the Center for Research on Foundation Models (Stanford),capabilities,True,scrutiny,"He leads foundation model research at CRFM, though his benchmarking and transparency work also fits evaluation.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jacob_steinhardt,Jacob Steinhardt,is a co-founder of Transluce and a professor at UC Berkeley researching AI alignment (Transluce),scrutiny,False,,His primary public role is AI alignment and model evaluation research at Transluce and UC Berkeley.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_bau,David Bau,is a professor at Northeastern University working on interpretability (Northeastern),scrutiny,False,,"He is publicly known as an interpretability researcher, which falls under scrutiny.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_krueger,David Krueger,is a professor researching AI safety and deep learning (University of Cambridge),scrutiny,False,,His main public identity is an academic AI safety researcher and advocate.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
