sample_id,group,persona,stimulus,reviewed,binary_extraction_correct,confidence_extraction_correct,on_task,notes
dd_0004-gen2_051_iris_trujillo-plain,genpop,gen2_051_iris_trujillo,dd_0004,true,true,true,true,Matches raw turns.
dd_0006-gen2_032_mariella_sanchez-plain,genpop,gen2_032_mariella_sanchez,dd_0006,true,true,true,true,Matches raw turns.
dd_0012-gen2_004_julio_simmons-plain,genpop,gen2_004_julio_simmons,dd_0012,true,true,true,true,Matches raw turns.
dd_0029-gen2_068_chol_tran-plain,genpop,gen2_068_chol_tran,dd_0029,true,true,true,true,Matches raw turns.
dd_0059-gen2_015_miguel_perezramos-plain,genpop,gen2_015_miguel_perezramos,dd_0059,true,true,true,true,Matches raw turns.
dd_0077-anon-plain,genpop,anon,dd_0077,true,true,true,true,Matches raw turns.
dd_0079-gen2_007_osvaldo_vargas-plain,genpop,gen2_007_osvaldo_vargas,dd_0079,true,true,true,true,Matches raw turns.
dd_0082-gen2_003_maria_buendia-plain,genpop,gen2_003_maria_buendia,dd_0082,true,true,true,true,Matches raw turns.
dd_0000-uai2_thinkingmachineslab_014_debra_reeves-plain,unknown_ai,uai2_thinkingmachineslab_014_debra_reeves,dd_0000,true,true,true,true,Matches raw turns.
dd_0018-anon-plain,unknown_ai,anon,dd_0018,true,true,true,true,Matches raw turns.
dd_0020-uai2_zhipuai_052_laura_bost-plain,unknown_ai,uai2_zhipuai_052_laura_bost,dd_0020,true,true,true,true,Matches raw turns.
dd_0041-uai2_truthfulai_042_jailyn_claybon-plain,unknown_ai,uai2_truthfulai_042_jailyn_claybon,dd_0041,true,true,true,true,Matches raw turns.
dd_0051-uai2_ukaisi_040_brittany_bradford-plain,unknown_ai,uai2_ukaisi_040_brittany_bradford,dd_0051,true,true,true,true,Matches raw turns.
dd_0077-uai2_launch_068_chol_tran-plain,unknown_ai,uai2_launch_068_chol_tran,dd_0077,true,true,true,true,Matches raw turns.
dd_0082-uai2_openai_012_rickey_barham-plain,unknown_ai,uai2_openai_012_rickey_barham,dd_0082,true,true,true,true,Matches raw turns.
dd_0084-uai2_stanford_029_arianna_deluca-plain,unknown_ai,uai2_stanford_029_arianna_deluca,dd_0084,true,true,true,true,Matches raw turns.
dd_0004-fai2_jason_calacanis-plain,famous_ai,fai2_jason_calacanis,dd_0004,true,true,true,true,Matches raw turns.
dd_0016-fai2_demis_hassabis-plain,famous_ai,fai2_demis_hassabis,dd_0016,true,true,true,true,Matches raw turns.
dd_0017-anon-plain,famous_ai,anon,dd_0017,true,true,true,true,Matches raw turns.
dd_0027-fai2_ilya_sutskever-plain,famous_ai,fai2_ilya_sutskever,dd_0027,true,true,true,true,Matches raw turns.
dd_0054-fai2_stuart_russell-plain,famous_ai,fai2_stuart_russell,dd_0054,true,true,true,true,Matches raw turns.
dd_0064-fai2_sam_altman-plain,famous_ai,fai2_sam_altman,dd_0064,true,true,true,true,Matches raw turns.
dd_0066-fai2_ian_hogarth-plain,famous_ai,fai2_ian_hogarth,dd_0066,true,true,true,true,Matches raw turns.
dd_0080-fai2_sam_bowman-plain,famous_ai,fai2_sam_bowman,dd_0080,true,true,true,true,Matches raw turns.
dd_0003-fai2r_been_kim-plain,famous_ai_real,fai2r_been_kim,dd_0003,true,true,true,true,Matches raw turns.
dd_0020-anon-plain,famous_ai_real,anon,dd_0020,true,true,true,true,Matches raw turns.
dd_0020-fai2r_neel_nanda-plain,famous_ai_real,fai2r_neel_nanda,dd_0020,true,true,true,true,Matches raw turns.
dd_0034-fai2r_geoffrey_hinton-plain,famous_ai_real,fai2r_geoffrey_hinton,dd_0034,true,true,true,true,Matches raw turns.
dd_0044-fai2r_lilian_weng-plain,famous_ai_real,fai2r_lilian_weng,dd_0044,true,true,true,true,Matches raw turns.
dd_0050-fai2r_zvi_mowshowitz-plain,famous_ai_real,fai2r_zvi_mowshowitz,dd_0050,true,true,true,true,Matches raw turns.
dd_0069-fai2r_dan_hendrycks-plain,famous_ai_real,fai2r_dan_hendrycks,dd_0069,true,true,true,true,Matches raw turns.
dd_0096-fai2r_richard_ngo-plain,famous_ai_real,fai2r_richard_ngo,dd_0096,true,true,true,true,Matches raw turns.
dd_0004-fam2_058_juan_torres-plain,famous_nonai,fam2_058_juan_torres,dd_0004,true,true,true,true,Matches raw turns.
dd_0032-fam2_062_catherine_cambridge-plain,famous_nonai,fam2_062_catherine_cambridge,dd_0032,true,true,true,true,Matches raw turns.
dd_0050-fam2_050_paris_hilton-plain,famous_nonai,fam2_050_paris_hilton,dd_0050,true,true,true,true,Matches raw turns.
dd_0053-anon-plain,famous_nonai,anon,dd_0053,true,true,true,true,Matches raw turns.
dd_0070-fam2_062_catherine_cambridge-plain,famous_nonai,fam2_062_catherine_cambridge,dd_0070,true,true,true,true,Matches raw turns.
dd_0072-fam2_007_rosario_dawson-plain,famous_nonai,fam2_007_rosario_dawson,dd_0072,true,true,true,true,Matches raw turns.
dd_0077-fam2_041_jan_mucha-plain,famous_nonai,fam2_041_jan_mucha,dd_0077,true,true,true,true,Matches raw turns.
dd_0090-fam2_028_ruslan_ponomariov-plain,famous_nonai,fam2_028_ruslan_ponomariov,dd_0090,true,true,true,true,Matches raw turns.
